id,name,udp_url
canal_hotel,CANAL HOTEL,udp://@224.2.2.210:1001
bonvoy_tv,BONVOY TV,udp://@224.2.2.211:1001
cnn_internacional,CNN INTERNACIONAL,udp://@224.2.2.44:1001
cnn_espanhol,CNN ESPANHOL,udp://@224.2.2.43:1001
cnn_brasil,CNN BRASIL,udp://@224.2.2.48:1001
euro_channel,EURO CHANNEL,udp://@224.2.2.46:1001
france_24,FRANCE 24,udp://@224.2.2.133:1001
rai_italia,RAI ITÁLIA,udp://@224.2.2.69:1001
dw,DW,udp://@224.2.2.68:1001
rt_espanhol,RT ESPANHOL,udp://@224.2.2.139:1001
band_news,BAND NEWS,udp://@224.2.2.45:1001
globo_news,GLOBO NEWS,udp://@224.2.2.50:1001
jovem_pan_news,JOVEM PAN NEWS,udp://@224.2.2.49:1001
sportv,SPORTV,udp://@224.2.2.18:1001
sportv_2,SPORTV 2,udp://@224.2.2.20:1001
sportv_3,SPORTV 3,udp://@224.2.2.19:1001
espn,ESPN,udp://@224.2.2.14:1001
espn_2,ESPN 2,udp://@224.2.2.16:1001
espn_3,ESPN 3,udp://@224.2.2.17:1001
espn_4,ESPN 4,udp://@224.2.2.11:1001
espn_5,ESPN 5,udp://@224.2.2.12:1001
espn_6,ESPN 6,udp://@224.2.2.15:1001
band_sports,BAND SPORTS,udp://@224.2.2.13:1001
gnt,GNT,udp://@224.2.2.55:1001
multishow,MULTISHOW,udp://@224.2.2.51:1001
canal_off,CANAL OFF,udp://@224.2.2.21:1001
bis,BIS,udp://@224.2.2.58:1001
home_health_eng,HOME & HEALTH (eng),udp://@224.2.2.53:1001
e_hd_eng,E! HD (eng),udp://@224.2.2.54:1001
discovery_eng,DISCOVERY (eng),udp://@224.2.2.59:1001
history_eng,HISTORY (eng),udp://@224.2.2.60:1001
animal_planet_eng,ANIMAL PLANET (eng),udp://@224.2.2.62:1001
discovery_science_eng,DISCOVERY SCIENCE (eng),udp://@224.2.2.65:1001
discovery_turbo_eng,DISCOVERY TURBO (eng),udp://@224.2.2.63:1001
food_network_eng,FOOD NETWORK (eng),udp://@224.2.2.56:1001
hbo_eng,HBO ENG,udp://@224.2.2.1:1001
hbo_2,HBO 2,udp://@224.2.2.2:1001
hbo_plus_eng,HBO PLUS (eng),udp://@224.2.2.3:1001
telecine_premium_eng,TELECINE PREMIUM (eng),udp://@224.2.2.10:1001
telecine_pipoca_eng,TELECINE PIPOCA (eng),udp://@224.2.2.9:1001
telecine_action_eng,TELECINE ACTION (eng),udp://@224.2.2.6:1001
telecine_fun_eng,TELECINE FUN (eng),udp://@224.2.2.7:1001
telecine_touch_eng,TELECINE TOUCH (eng),udp://@224.2.2.8:1001
telecine_cult_eng,TELECINE CULT (eng),udp://@224.2.2.127:1001
tnt_eng,TNT (eng),udp://@224.2.2.23:1001
universal_channel_eng,UNIVERSAL CHANNEL (eng),udp://@224.2.2.26:1001
hbo_pop_eng,HBO POP (eng),udp://@224.2.2.27:1001
axn_eng,AXN (eng),udp://@224.2.2.28:1001
tnt_series,TNT SERIES,udp://@224.2.2.30:1001
tlc,TLC,udp://@224.2.2.33:1001
warner_eng,WARNER (eng),udp://@224.2.2.35:1001
sony_eng,SONY (eng),udp://@224.2.2.36:1001
discovery_kids,DISCOVERY KIDS,udp://@224.2.2.39:1001
hbo_family_eng,HBO FAMILY (eng),udp://@224.2.2.40:1001
cartoon_network,CARTOON NETWORK,udp://@224.2.2.38:1001
globo,globo,udp://@224.2.2.80:1001
sbt,sbt,udp://@224.2.2.131:1001
band,band,udp://@224.2.2.128:1001
record,record,udp://@224.2.2.82:1001
redetv,redetv,udp://@224.2.2.135:1001
